Model,Variable,Coefficient,Std_Error,Z_value,P_value,Significance,Sample_Size,Participants
Human Belief Change,Intercept,-0.341,0.0777,-4.387,0.0,***,1173,391
Human Belief Change,C(topic)[T.Penalty],0.395,0.0684,5.771,0.0,***,1173,391
Human Belief Change,C(topic)[T.Weight Loss],0.0503,0.068,0.74,0.4593,,1173,391
Human Belief Change,C(stance_direction)[T.Con],-0.0127,0.0531,-0.24,0.8105,,1173,391
Human Belief Change,C(gender)[T.Diverse],-0.2039,0.553,-0.369,0.7123,,1173,391
Human Belief Change,C(gender)[T.Male],0.0529,0.0582,0.91,0.363,,1173,391
Human Belief Change,C(ethnicity_grouped)[T.Other],0.0169,0.0835,0.202,0.84,,1173,391
Human Belief Change,C(country_grouped)[T.Other],-0.1643,0.0919,-1.788,0.0738,,1173,391
Human Belief Change,C(student_grouped)[T.Other],0.1909,0.0957,1.996,0.046,*,1173,391
Human Belief Change,C(employment_status)[T.Employed part-time],0.1981,0.0841,2.355,0.0185,*,1173,391
Human Belief Change,C(employment_status)[T.Not in labor force],0.0249,0.0891,0.279,0.7802,,1173,391
Human Belief Change,C(employment_status)[T.Self-employed],0.1013,0.0837,1.21,0.2263,,1173,391
Human Belief Change,C(employment_status)[T.Unemployed],0.1095,0.11,0.995,0.3196,,1173,391
Human Belief Change,"C(highest_qualification)[T.Further education (A Levels, BTEC, apprenticeship)]",-0.0095,0.0685,-0.139,0.8892,,1173,391
Human Belief Change,C(highest_qualification)[T.Master's degree],0.0973,0.0803,1.211,0.2257,,1173,391
Human Belief Change,C(highest_qualification)[T.No formal education],-0.1831,0.3105,-0.59,0.5554,,1173,391
Human Belief Change,C(highest_qualification)[T.PhD or higher],-0.0538,0.1737,-0.31,0.7568,,1173,391
Human Belief Change,C(highest_qualification)[T.Secondary school (GCSEs/O Levels)],-0.1811,0.0961,-1.885,0.0594,,1173,391
Human Belief Change,initial_belief_normalized_centered,-0.3039,0.0078,-38.923,0.0,***,1173,391
Human Belief Change,age_centered,0.0023,0.0023,1.017,0.309,,1173,391
Human Belief Change,familiarity_centered,0.066,0.0235,2.807,0.005,**,1173,391
Human Belief Change,BIG5_extraversion_score_centered,0.0424,0.0264,1.604,0.1086,,1173,391
Human Belief Change,BIG5_agreeableness_score_centered,-0.03,0.0288,-1.044,0.2966,,1173,391
Human Belief Change,BIG5_conscientiousness_score_centered,0.0101,0.0349,0.29,0.7715,,1173,391
Human Belief Change,BIG5_neuroticism_score_centered,0.028,0.0273,1.023,0.3061,,1173,391
Human Belief Change,BIG5_openness_score_centered,-0.0177,0.0283,-0.624,0.5323,,1173,391
Human Belief Change,topic Var,1.0,,,,,1173,391
Human - Llama Bias (Difference),Intercept,-0.2235,0.0725,-3.084,0.002,**,1173,391
Human - Llama Bias (Difference),C(topic)[T.Penalty],0.0516,0.0635,0.813,0.4159,,1173,391
Human - Llama Bias (Difference),C(topic)[T.Weight Loss],-0.0517,0.0629,-0.822,0.4108,,1173,391
Human - Llama Bias (Difference),C(stance_direction)[T.Con],0.0504,0.0492,1.025,0.3052,,1173,391
Human - Llama Bias (Difference),C(gender)[T.Diverse],0.2173,0.5119,0.425,0.6711,,1173,391
Human - Llama Bias (Difference),C(gender)[T.Male],0.0192,0.0541,0.355,0.7228,,1173,391
Human - Llama Bias (Difference),C(ethnicity_grouped)[T.Other],0.2022,0.0774,2.611,0.009,**,1173,391
